scheme	status	bytes	url
pm-kisan	http 400		https://pmkisan.gov.in/Documents/à¤ªà¥à¤°à¤§à¤¾à¤¨à¤®à¤‚à¤¤à¥à¤°à¥€ à¤•à¤¿à¤¸à¤¾à¤¨ à¤¸à¤®à¥à¤®à¤¾à¤¨ à¤¨à¤¿à¤§à¤¿.pdf
pm-kisan	pdf	463857	https://pmkisan.gov.in/Documents/PMKisanSamanNidhi.PDF
pm-kisan	pdf	3721080	https://pmkisan.gov.in/Documents/RevisedFAQ.pdf
pm-kisan	pdf	162389	https://pmkisan.gov.in/Documents/FAQPMKISAN.PDF
pm-kisan	pdf	45928	https://pmkisan.gov.in/Documents/ADDITIONAL-FAQ-IN-RESPECTIVE-OF-THE-PM2.pdf
pm-kisan	pdf	824649	https://pmkisan.gov.in/Documents/RevisedPM-KISANOperationalGuidelines(English).pdf
pm-kisan	pdf	412190	https://pmkisan.gov.in/Documents/Operational Guidelines of Financing Facility under Agriculture Infrastructure Fund.pdf
pm-kisan	pdf	4756201	https://pmkisan.gov.in/Documents/Transfer of Benefits NPCI 18 feb (1).PDF
pm-kisan	pdf	11389443	https://pmkisan.gov.in/Documents/FTG.pdf
pm-kisan	pdf	425697	https://pmkisan.gov.in/Documents/PM Kisan Refund Mechanism.pdf
pm-kisan	pdf	712759	https://pmkisan.gov.in/Documents/Aadhaar seeding of database of beneficiaries.pdf
pm-kisan	pdf	236957	https://pmkisan.gov.in/Documents/PMKisan-reimbursementofexpenses.pdf
pm-kisan	pdf	429499	https://pmkisan.gov.in/Documents/SettingupofGrievanceMechanismbyStates.pdf
pm-kisan	pdf	472012	https://pmkisan.gov.in/Documents/OPERATIONAL GUIDELINES.pdf
pm-kisan	pdf	364522	https://pmkisan.gov.in/Documents/Amendment to OG-converted.pdf
pm-kisan	pdf	46676	https://pmkisan.gov.in/Documents/clarification_on_OGs_of_PMKISAN.PDF
pm-kisan	pdf	309231	https://pmkisan.gov.in/Documents/OperationalGuidelinesManipur.PDF
pm-kisan	pdf	267520	https://pmkisan.gov.in/Documents/ClarificationsrelatingtoClauses.PDF
pm-kisan	pdf	1131666	https://pmkisan.gov.in/Documents/PM-KMY - Operational Guidelines.pdf
pm-kisan	pdf	448922	https://pmkisan.gov.in/Documents/PM-KMY - Salient Features.pdf
pm-kisan	pdf	842281	https://pmkisan.gov.in/Documents/PM-KMY - FAQs.pdf
pm-kisan	pdf	759159	https://pmkisan.gov.in/Documents/Kcc.pdf
pm-kisan	pdf	5979055	https://pmkisan.gov.in/Documents/finalKCCCircular.pdf
pmay-u	pdf	4305643	https://pmay-urban.gov.in/uploads/Angikaar-2026-Guidelines.pdf
pmay-u	pdf	17858860	https://pmay-urban.gov.in/uploads/guidelines/AHP-SOP.pdf
pmay-u	pdf	48851227	https://pmay-urban.gov.in/uploads/compendium_of_good_practices/Compendium-of-Good-Practices.pdf
pmay-u	pdf	7521277	https://pmay-urban.gov.in/uploads/List-of-ULB.pdf
pmay-u	http 404		https://pmay-urban.gov.in/uploads/progress-pdfs/68ac528160e77-Achievement_under_PMAY-U_&amp;_PMAY-U2.0_cropped.pdf
pmay-u	pdf	605045	https://pmay-urban.gov.in/uploads/progress-pdfs/68ac532590ee9-State_wise_for_web.pdf
pmay-u	pdf	460644	https://pmay-urban.gov.in/uploads/progress-pdfs/City_wise_Progress_PMAY-U_090925.pdf
